,game_id,game_period_number,game_fight_number,game_time_of_fight,away_score_at_fight,home_score_at_fight,home_fighter_id,away_fighter_id,home_fighter_name,away_fighter_name,away_corsi_at_fight,away_fenwick_at_fight,home_corsi_at_fight,home_fenwick_at_fight,away_corsi_after_2,away_fenwick_after_2,home_corsi_after_2,home_fenwick_after_2,away_corsi_after_5,away_fenwick_after_5,home_corsi_after_5,home_fenwick_after_5,away_corsi_after_10,away_fenwick_after_10,home_corsi_after_10,home_fenwick_after_10,away_corsi_until_eop,away_fenwick_until_eop,home_corsi_until_eop,home_fenwick_until_eop,away_corsi_until_eog,away_fenwick_until_eog,home_corsi_until_eog,home_fenwick_until_eog,away_corsi_until_next_fight,away_fenwick_until_next_fight,home_corsi_until_next_fight,home_fenwick_until_next_fight
0,2021020156,1,1,817,0,0,8476467,8477401,Jamie Oleksiak,#N/A,0.012239902,0.008567931,0.017135863,0.014687882,0,0,0.008333333,0.008333333,0.003333333,0.003333333,0.026666667,0.026666667,0.005,0.003333333,0.03,0.026666667,0.005221932,0.002610966,0.026109661,0.026109661,0.008983112,0.007545814,0.017606899,0.01365433,,,,
0,2021020159,2,1,1967,2,2,8474568,8479661,Luke Schenn,Tanner Jeannot,0.018810371,0.012201322,0.016776817,0.013218099,0.025,0.016666667,0.016666667,0,0.016666667,0.013333333,0.013333333,0.006666667,0.018333333,0.013333333,0.011666667,0.005,0.020785219,0.018475751,0.013856813,0.004618938,0.017146356,0.007960808,0.011635028,0.009185548,,,,
0,2021020160,3,1,2860,0,3,8480031,8475728,Maxime Comtois,#N/A,0.015734266,0.011188811,0.013636364,0.011188811,0.025,0,0.025,0.025,0.01,0,0.03,0.026666667,0.01,0.003333333,0.026666667,0.023333333,0.014864865,0.008108108,0.022972973,0.02027027,0.014864865,0.008108108,0.022972973,0.02027027,0.014864865,0.008108108,0.022972973,0.02027027
0,2021020160,3,2,3600,1,3,8475235,8477070,Nicolas Deslauriers,Liam O'Brien,0.015555556,0.010555556,0.015555556,0.013055556,,,,,,,,,,,,,,,,,,,,,,,,
0,2021020170,2,1,1868,1,0,8476392,8476429,Adam Lowry,Scott Mayfield,0.016595289,0.011777302,0.01391863,0.010706638,0,0,0.025,0.025,0.023333333,0.023333333,0.01,0.01,0.026666667,0.021666667,0.013333333,0.013333333,0.02443609,0.020676692,0.015037594,0.015037594,0.019630485,0.013856813,0.012702079,0.012124711,,,,
0,2021020171,2,1,2257,0,3,8475790,8475797,Erik Gudbranson,#N/A,0.016393443,0.011962782,0.019937971,0.016836509,0.008333333,0,0.025,0.025,0.01,0.006666667,0.016666667,0.013333333,0.01,0.008333333,0.018333333,0.016666667,0.006993007,0,0.020979021,0.020979021,0.011913626,0.010424423,0.017125838,0.014892033,,,,
0,2021020182,2,1,2290,2,2,8477365,8480029,Connor Clifton,Alex Formenton,0.016593886,0.010043668,0.016593886,0.015720524,0.008333333,0,0.025,0.025,0.016666667,0.013333333,0.013333333,0.013333333,0.011666667,0.008333333,0.015,0.013333333,0.009090909,0,0.027272727,0.027272727,0.013740458,0.010687023,0.009923664,0.008396947,,,,
0,2021020201,1,1,151,0,0,8478057,8477446,Dakota Joshua,Michael McCarron,0.013245033,0.006622517,0.006622517,0.006622517,0.025,0.016666667,0.016666667,0,0.013333333,0.006666667,0.023333333,0.016666667,0.015,0.008333333,0.02,0.015,0.015252622,0.011439466,0.014299333,0.011439466,0.015366773,0.011017686,0.015366773,0.012177443,,,,
0,2021020202,2,1,1344,1,1,8476392,8479981,Adam Lowry,#N/A,0.017857143,0.01264881,0.017857143,0.01264881,0.008333333,0,0.033333333,0.033333333,0.02,0.016666667,0.026666667,0.023333333,0.015,0.013333333,0.02,0.016666667,0.016098485,0.011363636,0.018939394,0.016098485,0.016400709,0.011968085,0.021276596,0.017287234,,,,
0,2021020205,2,1,1614,3,1,8478468,8476312,Jeremy Lauzon,Josh Manson,0.018587361,0.016109046,0.009913259,0.005576208,0.016666667,0.016666667,0.016666667,0.008333333,0.01,0.01,0.01,0.006666667,0.01,0.008333333,0.015,0.01,0.013994911,0.011450382,0.013994911,0.008905852,0.013595166,0.010070493,0.016616314,0.013091641,,,,
0,2021020214,2,1,1726,0,1,8478010,8471887,Brayden Point,Patric Hornqvist,0.009849363,0.00811124,0.013904983,0.008690614,0.016666667,0.008333333,0.025,0.016666667,0.016666667,0.013333333,0.013333333,0.01,0.018333333,0.016666667,0.013333333,0.011666667,0.016320475,0.014836795,0.013353116,0.010385757,0.014407684,0.01280683,0.012273212,0.008537887,,,,
0,2021020218,1,1,102,0,0,8479671,8477070,Mathieu Olivier,Liam O'Brien,0,0,0.019607843,0.009803922,0,0,0.025,0.025,0.003333333,0,0.013333333,0.013333333,0.003333333,0,0.011666667,0.011666667,0.010018215,0.008196721,0.010928962,0.010928962,0.009433962,0.008290452,0.011435106,0.010291595,0.00308642,0,0.012345679,0.012345679
0,2021020218,1,2,750,0,1,8474697,8474849,Mark Borowiecki,#N/A,0.002666667,0,0.013333333,0.012,0.008333333,0.008333333,0.008333333,0.008333333,0.023333333,0.023333333,0.003333333,0.003333333,0.016666667,0.016666667,0.011666667,0.008333333,0.02,0.02,0.008888889,0.008888889,0.010877193,0.010175439,0.01122807,0.009824561,,,,
0,2021020222,3,1,3529,4,7,8477018,8477450,Ben Hutton,Jason Dickinson,0.01728535,0.014451686,0.019268915,0.013601587,0.028169014,0.028169014,0.014084507,0.014084507,0.028169014,0.028169014,0.014084507,0.014084507,0.028169014,0.028169014,0.014084507,0.014084507,0.028169014,0.028169014,0.014084507,0.014084507,0.028169014,0.028169014,0.014084507,0.014084507,,,,
0,2021020225,2,1,2400,3,0,8477482,8475790,Zachary Sanford,Erik Gudbranson,0.01625,0.01375,0.012916667,0.009583333,0.016666667,0.016666667,0.008333333,0.008333333,0.016666667,0.016666667,0.023333333,0.023333333,0.011666667,0.011666667,0.02,0.02,,,,,0.011666667,0.009166667,0.020833333,0.015833333,,,,
